result,pnl,exit_time,entry_time,entry_price,sl,tp
win,0.0032399999999999096,2024-12-06 15:30:00,2024-12-06 09:45:00,1.05837,1.05675,1.06161
loss,-0.0040199999999999125,2024-12-06 16:00:00,2024-12-06 15:30:00,1.06169,1.05767,1.0697299999999998
loss,-0.0021199999999998997,2024-12-09 05:45:00,2024-12-06 22:30:00,1.05635,1.05423,1.0605899999999997
win,0.0012199999999999989,2024-12-09 09:15:00,2024-12-09 08:15:00,1.05397,1.05336,1.05519
loss,-0.0033400000000001207,2024-12-09 21:15:00,2024-12-09 17:45:00,1.05912,1.05578,1.0658000000000003
loss,-0.0005500000000000504,2024-12-10 02:00:00,2024-12-10 01:00:00,1.05552,1.05497,1.0566200000000001
loss,-0.0013300000000000534,2024-12-10 09:45:00,2024-12-10 07:45:00,1.05621,1.05488,1.0588700000000002
loss,0.0009600000000000719,2024-12-12 16:00:00,2024-12-12 15:45:00,1.04847,1.04943,1.0465499999999999
loss,0.00014999999999987246,2024-12-24 04:30:00,2024-12-24 04:15:00,1.04031,1.04046,1.0400100000000003
loss,0.00038999999999989043,2025-01-14 15:00:00,2025-01-14 14:45:00,1.02479,1.02518,1.0240100000000003
loss,0.00012999999999996348,2025-01-15 08:45:00,2025-01-15 08:30:00,1.02969,1.02982,1.02943
win,0.0033599999999998076,2025-01-21 16:15:00,2025-01-21 15:00:00,1.03596,1.03428,1.0393199999999998
loss,-0.0013199999999999878,2025-01-22 08:15:00,2025-01-22 06:15:00,1.04192,1.0406,1.04456
win,0.0030000000000001137,2025-01-22 12:15:00,2025-01-22 10:45:00,1.0423,1.0408,1.0453000000000001
loss,-0.0010399999999999299,2025-01-22 22:45:00,2025-01-22 22:00:00,1.04222,1.04118,1.0442999999999998
loss,-0.0009300000000000974,2025-01-23 03:45:00,2025-01-23 03:00:00,1.04146,1.04053,1.0433200000000002
loss,-0.0014600000000000168,2025-01-23 17:15:00,2025-01-23 11:15:00,1.04047,1.03901,1.04339
loss,-0.0007199999999998319,2025-01-24 03:30:00,2025-01-24 02:00:00,1.04198,1.04126,1.0434199999999996
loss,-0.0028000000000001357,2025-01-27 03:30:00,2025-01-24 16:45:00,1.04916,1.04636,1.0547600000000004
loss,-0.0014999999999998348,2025-01-27 10:00:00,2025-01-27 09:30:00,1.04707,1.04557,1.0500699999999996
loss,-0.0014600000000000168,2025-01-28 01:00:00,2025-01-27 22:30:00,1.04937,1.04791,1.05229
loss,-0.0016799999999999038,2025-01-28 10:30:00,2025-01-28 08:00:00,1.04422,1.04254,1.0475799999999997
loss,-0.0011900000000000244,2025-01-28 17:45:00,2025-01-28 16:30:00,1.04327,1.04208,1.04565
loss,-0.0006900000000000794,2025-01-29 09:00:00,2025-01-29 08:30:00,1.04423,1.04354,1.0456100000000002
loss,-0.006569999999999965,2025-02-13 20:30:00,2025-02-13 18:00:00,1.04407,1.0375,1.05721
loss,-0.0014100000000001334,2025-02-17 09:30:00,2025-02-17 03:15:00,1.04987,1.04846,1.0526900000000003
loss,-0.0011300000000000754,2025-02-17 14:30:00,2025-02-17 12:00:00,1.04823,1.0471,1.0504900000000001
loss,-0.0004499999999998394,2025-02-18 00:00:00,2025-02-17 23:45:00,1.04842,1.04797,1.0493199999999996
loss,-0.0008799999999999919,2025-02-18 02:30:00,2025-02-18 02:00:00,1.04852,1.04764,1.0502799999999999
loss,-0.0012199999999999989,2025-02-18 19:15:00,2025-02-18 17:30:00,1.04578,1.04456,1.04822
loss,-0.0008900000000000574,2025-02-19 03:45:00,2025-02-19 00:45:00,1.04502,1.04413,1.0468000000000002
loss,-0.0008199999999998209,2025-02-19 10:15:00,2025-02-19 07:45:00,1.04564,1.04482,1.0472799999999995
loss,-0.0021300000000001873,2025-02-21 17:15:00,2025-02-21 16:45:00,1.04811,1.04598,1.0523700000000005
win,0.0025599999999998957,2025-02-24 02:15:00,2025-02-24 00:30:00,1.04712,1.04584,1.04968
loss,-0.00383,2025-02-24 16:30:00,2025-02-24 02:15:00,1.04967,1.04584,1.05733
loss,-0.0017000000000000348,2025-02-24 22:30:00,2025-02-24 20:15:00,1.04851,1.04681,1.0519100000000001
loss,-0.0006299999999999084,2025-02-25 09:00:00,2025-02-25 08:15:00,1.04785,1.04722,1.0491099999999998
loss,-0.002569999999999961,2025-02-25 19:00:00,2025-02-25 17:15:00,1.05175,1.04918,1.0568899999999999
loss,-0.0008799999999999919,2025-02-26 04:15:00,2025-02-26 01:15:00,1.05201,1.05113,1.0537699999999999
loss,-0.0010999999999998789,2025-02-26 12:30:00,2025-02-26 10:45:00,1.05026,1.04916,1.0524599999999997
loss,-0.0006999999999999229,2025-02-26 13:15:00,2025-02-26 13:00:00,1.05009,1.04939,1.0514899999999998
win,0.0027999999999996916,2025-02-26 19:15:00,2025-02-26 17:15:00,1.04954,1.04814,1.0523399999999996
loss,-0.0043999999999999595,2025-02-26 23:30:00,2025-02-26 19:15:00,1.05234,1.04794,1.06114
loss,-0.0022600000000001508,2025-02-27 15:30:00,2025-02-27 11:45:00,1.04841,1.04615,1.0529300000000004
loss,-0.0019100000000000783,2025-03-05 02:00:00,2025-03-05 01:00:00,1.06355,1.06164,1.0673700000000002
win,0.006659999999999666,2025-03-05 11:30:00,2025-03-05 09:15:00,1.0652,1.06187,1.0718599999999996
loss,-0.002769999999999939,2025-03-06 06:00:00,2025-03-06 03:30:00,1.08148,1.07871,1.0870199999999999
loss,-0.0026199999999998447,2025-03-06 11:30:00,2025-03-06 07:45:00,1.08103,1.07841,1.0862699999999996
loss,-0.0032000000000000917,2025-03-06 20:15:00,2025-03-06 15:30:00,1.082,1.0788,1.0884000000000003
win,0.0029799999999999827,2025-03-07 10:15:00,2025-03-07 08:15:00,1.08178,1.08029,1.08476
loss,-0.0016500000000001513,2025-03-07 17:30:00,2025-03-07 16:00:00,1.08576,1.08411,1.0890600000000004
loss,-0.0014000000000000679,2025-03-10 04:45:00,2025-03-10 04:00:00,1.08668,1.08528,1.0894800000000002
loss,-0.0012099999999999334,2025-03-10 10:45:00,2025-03-10 09:00:00,1.08399,1.08278,1.0864099999999999
loss,-0.0019899999999999363,2025-03-11 08:30:00,2025-03-11 04:45:00,1.08581,1.08382,1.0897899999999998
loss,-0.001060000000000061,2025-03-12 09:45:00,2025-03-12 09:00:00,1.09056,1.0895,1.09268
loss,-0.0034000000000000696,2025-03-12 15:30:00,2025-03-12 11:45:00,1.09213,1.08873,1.0989300000000002
loss,-0.0008799999999999919,2025-03-13 06:30:00,2025-03-13 05:30:00,1.08951,1.08863,1.09127
loss,-0.0025200000000000777,2025-03-13 14:45:00,2025-03-13 12:15:00,1.08841,1.08589,1.0934500000000003
loss,-0.0018900000000001693,2025-03-13 21:00:00,2025-03-13 19:30:00,1.08729,1.0854,1.0910700000000004
loss,-0.0012999999999998568,2025-03-14 09:15:00,2025-03-14 08:45:00,1.08506,1.08376,1.0876599999999996
loss,-0.0011799999999999589,2025-03-17 08:30:00,2025-03-17 04:30:00,1.08864,1.08746,1.091
loss,-0.0005399999999999849,2025-03-18 09:15:00,2025-03-18 08:30:00,1.09116,1.09062,1.0922399999999999
win,0.0029200000000000337,2025-03-18 11:15:00,2025-03-18 09:45:00,1.09208,1.09062,1.095
loss,-0.0031399999999999206,2025-03-19 10:30:00,2025-03-18 18:30:00,1.09328,1.09014,1.0995599999999999
loss,-0.0022299999999999542,2025-03-19 17:45:00,2025-03-19 15:30:00,1.09137,1.08914,1.0958299999999999
loss,-0.0012999999999998568,2025-03-20 07:30:00,2025-03-20 05:00:00,1.09167,1.09037,1.0942699999999996
loss,-0.0015099999999999003,2025-03-21 06:30:00,2025-03-20 23:00:00,1.08541,1.0839,1.0884299999999998
loss,0.00031999999999987594,2025-03-25 18:00:00,2025-03-25 17:45:00,1.08125,1.08157,1.0806100000000003
loss,-0.002349999999999852,2025-04-04 08:30:00,2025-04-04 08:15:00,1.11055,1.1082,1.1152499999999996
loss,-0.011540000000000106,2025-04-04 17:45:00,2025-04-04 15:15:00,1.10799,1.09645,1.1310700000000002
loss,-0.003689999999999971,2025-04-07 17:00:00,2025-04-07 15:30:00,1.09721,1.09352,1.10459
win,0.0035799999999999166,2025-04-08 04:45:00,2025-04-08 03:00:00,1.09256,1.09077,1.09614
loss,-0.0037000000000000366,2025-04-08 10:30:00,2025-04-08 09:30:00,1.09908,1.09538,1.1064800000000001
loss,-0.003349999999999964,2025-04-08 17:00:00,2025-04-08 15:30:00,1.09584,1.09249,1.1025399999999999
win,0.005780000000000118,2025-04-09 04:00:00,2025-04-09 01:00:00,1.09677,1.09388,1.1025500000000001
loss,-0.0044399999999999995,2025-04-09 10:45:00,2025-04-09 09:45:00,1.10734,1.1029,1.11622
loss,-0.005800000000000027,2025-04-09 19:45:00,2025-04-09 15:15:00,1.10796,1.10216,1.11956
loss,-0.006259999999999932,2025-04-10 22:15:00,2025-04-10 21:15:00,1.1237,1.11744,1.1362199999999998
win,0.007159999999999833,2025-04-11 03:30:00,2025-04-11 01:00:00,1.12167,1.11809,1.1288299999999998
loss,-0.007530000000000037,2025-04-11 18:15:00,2025-04-11 15:45:00,1.13953,1.132,1.15459
loss,-0.00270999999999999,2025-04-14 15:00:00,2025-04-14 14:30:00,1.13986,1.13715,1.14528
loss,-0.0030399999999999316,2025-04-15 03:15:00,2025-04-14 22:00:00,1.13588,1.13284,1.1419599999999999
loss,-0.0015399999999998748,2025-04-15 09:15:00,2025-04-15 07:30:00,1.13587,1.13433,1.1389499999999997
loss,-0.0024000000000001798,2025-04-15 18:30:00,2025-04-15 17:45:00,1.13288,1.13048,1.1376800000000005
win,0.005980000000000096,2025-04-16 08:45:00,2025-04-16 03:00:00,1.13132,1.12833,1.1373000000000002
loss,-0.00279000000000007,2025-04-16 11:15:00,2025-04-16 10:45:00,1.1387,1.13591,1.1442800000000002
loss,-0.0010700000000001264,2025-04-17 02:45:00,2025-04-17 02:30:00,1.14056,1.13949,1.1427000000000003
loss,-0.0033199999999999896,2025-04-17 15:15:00,2025-04-17 10:45:00,1.13766,1.13434,1.1442999999999999
loss,-0.001060000000000061,2025-04-18 03:45:00,2025-04-18 03:00:00,1.13757,1.13651,1.13969
loss,-0.0004499999999998394,2025-04-18 07:45:00,2025-04-18 07:30:00,1.13739,1.13694,1.1382899999999996
win,0.00132000000000021,2025-04-21 00:15:00,2025-04-18 19:45:00,1.13944,1.13878,1.1407600000000002
loss,-0.006299999999999972,2025-04-21 16:15:00,2025-04-21 12:00:00,1.15678,1.15048,1.1693799999999999
loss,-0.0014600000000000168,2025-04-22 03:00:00,2025-04-22 01:00:00,1.15194,1.15048,1.15486
loss,-0.0023999999999999577,2025-04-22 09:30:00,2025-04-22 08:45:00,1.15422,1.15182,1.15902
loss,-0.002969999999999917,2025-04-22 19:00:00,2025-04-22 17:30:00,1.14856,1.14559,1.1544999999999999
loss,-0.003309999999999924,2025-04-23 16:30:00,2025-04-23 11:45:00,1.14129,1.13798,1.1479099999999998
win,0.0019599999999999618,2025-04-24 01:00:00,2025-04-24 00:45:00,1.13201,1.13103,1.13397
loss,-0.0033600000000000296,2025-04-25 07:00:00,2025-04-24 04:15:00,1.13549,1.13213,1.1422100000000002
loss,-0.0018199999999999328,2025-04-30 03:45:00,2025-04-30 01:15:00,1.13954,1.13772,1.1431799999999999
loss,0.0005900000000000905,2025-05-14 16:00:00,2025-05-14 15:45:00,1.12252,1.12311,1.1213399999999998
loss,0.000140000000000029,2025-05-19 05:45:00,2025-05-19 05:30:00,1.11786,1.118,1.11758
loss,-0.0011900000000000244,2025-05-21 10:00:00,2025-05-21 09:00:00,1.13382,1.13263,1.1362
loss,-0.0023800000000000487,2025-05-21 21:45:00,2025-05-21 20:15:00,1.13562,1.13324,1.1403800000000002
loss,-0.0012699999999998823,2025-05-22 09:30:00,2025-05-22 09:00:00,1.13373,1.13246,1.1362699999999997
loss,-0.0018500000000001293,2025-05-22 15:30:00,2025-05-22 14:15:00,1.13088,1.12903,1.1345800000000004
loss,-0.0023400000000000087,2025-05-23 14:30:00,2025-05-23 13:00:00,1.13561,1.13327,1.14029
loss,-0.0013900000000000023,2025-05-26 10:00:00,2025-05-26 08:45:00,1.14172,1.14033,1.1445
loss,-0.0008299999999998864,2025-05-26 19:15:00,2025-05-26 17:45:00,1.13842,1.13759,1.1400799999999998
loss,-0.0004900000000001015,2025-05-27 00:00:00,2025-05-26 22:45:00,1.13853,1.13804,1.1395100000000002
loss,-0.0012999999999998568,2025-05-27 07:30:00,2025-05-27 05:30:00,1.14,1.1387,1.1425999999999996
loss,-0.0022100000000000453,2025-05-27 17:30:00,2025-05-27 15:15:00,1.13628,1.13407,1.1407
loss,-0.0008999999999999009,2025-05-27 23:00:00,2025-05-27 22:30:00,1.13374,1.13284,1.1355399999999998
loss,-0.0008300000000001084,2025-05-28 04:00:00,2025-05-28 03:00:00,1.13396,1.13313,1.1356200000000003
loss,-0.0025100000000000122,2025-05-28 18:15:00,2025-05-28 10:00:00,1.13205,1.12954,1.13707
